epoch  recon    pos1     pos2     attn     div      hit      lr_enc   lr_read  scaff
  107  0.0109  0.0443  0.0380  -0.1508  0.1614  0.4020  0.000072  0.000722  0.4700
  108  0.0109  0.0335  0.0346  -0.1512  0.1605  0.3993  0.000072  0.000718  0.4650
  109  0.0109  0.0317  0.0332  -0.1515  0.1608  0.4030  0.000071  0.000713  0.4600
  110  0.0110  0.0322  0.0324  -0.1518  0.1607  0.4061  0.000071  0.000708  0.4550
  111  0.0109  0.0285  0.0313  -0.1522  0.1614  0.4079  0.000070  0.000703  0.4500
  112  0.0109  0.0269  0.0256  -0.1528  0.1613  0.4053  0.000070  0.000699  0.4450
  113  0.0109  0.0319  0.0236  -0.1531  0.1605  0.4010  0.000069  0.000694  0.4400
  114  0.0110  0.0267  0.0228  -0.1532  0.1607  0.4059  0.000069  0.000689  0.4350
  115  0.0109  0.0279  0.0228  -0.1535  0.1609  0.4011  0.000068  0.000684  0.4300
  116  0.0109  0.0277  0.0272  -0.1540  0.1611  0.4018  0.000068  0.000679  0.4250
  117  0.0108  0.0229  0.0279  -0.1545  0.1611  0.4007  0.000067  0.000674  0.4200
  118  0.0107  0.0232  0.0308  -0.1546  0.1615  0.4041  0.000067  0.000669  0.4150
  119  0.0107  0.0260  0.0280  -0.1551  0.1612  0.4073  0.000066  0.000664  0.4100
  120  0.0108  0.0270  0.0450  -0.1555  0.1608  0.4030  0.000066  0.000659  0.4050
  121  0.0107  0.0264  0.0348  -0.1558  0.1608  0.4040  0.000065  0.000655  0.4000
  122  0.0105  0.0249  0.0256  -0.1562  0.1614  0.4054  0.000065  0.000650  0.3950
  123  0.0104  0.0207  0.0204  -0.1567  0.1615  0.4052  0.000064  0.000645  0.3900
  124  0.0104  0.0192  0.0182  -0.1571  0.1616  0.4047  0.000064  0.000639  0.3850
  125  0.0102  0.0201  0.0180  -0.1574  0.1615  0.4037  0.000063  0.000634  0.3800
  126  0.0101  0.0176  0.0153  -0.1576  0.1612  0.4030  0.000063  0.000629  0.3750
  127  0.0099  0.0167  0.0136  -0.1580  0.1610  0.4017  0.000062  0.000624  0.3700
  128  0.0097  0.0167  0.0131  -0.1584  0.1614  0.4014  0.000062  0.000619  0.3650
  129  0.0098  0.0196  0.0139  -0.1587  0.1609  0.3999  0.000061  0.000614  0.3600
  130  0.0094  0.0168  0.0137  -0.1591  0.1607  0.4025  0.000061  0.000609  0.3550
  131  0.0088  0.0162  0.0122  -0.1595  0.1615  0.4066  0.000060  0.000604  0.3500
  132  0.0082  0.0131  0.0111  -0.1599  0.1613  0.4029  0.000060  0.000599  0.3450
  133  0.0079  0.0207  0.0095  -0.1602  0.1609  0.4010  0.000059  0.000594  0.3400
  134  0.0074  0.0191  0.0098  -0.1607  0.1610  0.4015  0.000059  0.000589  0.3350
  135  0.0069  0.0134  0.0093  -0.1610  0.1611  0.3998  0.000058  0.000583  0.3300
  136  0.0064  0.0119  0.0079  -0.1613  0.1612  0.4017  0.000058  0.000578  0.3250
  137  0.0060  0.0115  0.0076  -0.1618  0.1611  0.4005  0.000057  0.000573  0.3200
  138  0.0059  0.0113  0.0081  -0.1623  0.1615  0.4009  0.000057  0.000568  0.3150
  139  0.0056  0.0126  0.0070  -0.1626  0.1611  0.3994  0.000056  0.000563  0.3100
  140  0.0054  0.0162  0.0070  -0.1627  0.1612  0.4013  0.000056  0.000557  0.3050
  141  0.0053  0.0148  0.0076  -0.1635  0.1620  0.4018  0.000055  0.000552  0.3000
  142  0.0051  0.0106  0.0065  -0.1635  0.1614  0.4056  0.000055  0.000547  0.2950
  143  0.0049  0.0110  0.0062  -0.1638  0.1613  0.4039  0.000054  0.000542  0.2900
  144  0.0049  0.0097  0.0060  -0.1645  0.1616  0.4036  0.000054  0.000537  0.2850
  145  0.0046  0.0161  0.0056  -0.1648  0.1618  0.3989  0.000053  0.000531  0.2800
  146  0.0046  0.0100  0.0056  -0.1652  0.1616  0.4030  0.000053  0.000526  0.2750
  147  0.0045  0.0158  0.0055  -0.1654  0.1619  0.4038  0.000052  0.000521  0.2700
  148  0.0046  0.0134  0.0053  -0.1658  0.1616  0.3999  0.000052  0.000516  0.2650
  149  0.0044  0.0090  0.0050  -0.1663  0.1616  0.4007  0.000051  0.000510  0.2600
  150  0.0043  0.0090  0.0048  -0.1666  0.1616  0.4018  0.000051  0.000505  0.2550
  151  0.0042  0.0086  0.0047  -0.1670  0.1621  0.4024  0.000050  0.000500  0.2500
  152  0.0041  0.0105  0.0048  -0.1675  0.1622  0.4038  0.000049  0.000495  0.2450
  153  0.0041  0.0081  0.0044  -0.1679  0.1617  0.4060  0.000049  0.000490  0.2400
  154  0.0039  0.0076  0.0043  -0.1680  0.1617  0.4059  0.000048  0.000484  0.2350
  155  0.0039  0.0094  0.0044  -0.1684  0.1621  0.4034  0.000048  0.000479  0.2300
  156  0.0038  0.0080  0.0044  -0.1687  0.1618  0.3999  0.000047  0.000474  0.2250
  157  0.0038  0.0190  0.0041  -0.1692  0.1618  0.3986  0.000047  0.000469  0.2200
  158  0.0038  0.0175  0.0040  -0.1693  0.1620  0.3999  0.000046  0.000463  0.2150
  159  0.0038  0.0135  0.0037  -0.1700  0.1623  0.4039  0.000046  0.000458  0.2100
  160  0.0038  0.0080  0.0037  -0.1704  0.1625  0.4023  0.000045  0.000453  0.2050
  161  0.0037  0.0073  0.0036  -0.1708  0.1623  0.4020  0.000045  0.000448  0.2000
  162  0.0037  0.0114  0.0035  -0.1712  0.1621  0.4015  0.000044  0.000443  0.1950
  163  0.0037  0.0100  0.0036  -0.1713  0.1620  0.4007  0.000044  0.000437  0.1900
  164  0.0037  0.0064  0.0034  -0.1719  0.1620  0.4006  0.000043  0.000432  0.1850
  165  0.0036  0.0079  0.0032  -0.1724  0.1624  0.4007  0.000043  0.000427  0.1800
  166  0.0036  0.0071  0.0033  -0.1726  0.1628  0.4020  0.000042  0.000422  0.1750
  167  0.0036  0.0077  0.0032  -0.1730  0.1627  0.4041  0.000042  0.000417  0.1700
  168  0.0035  0.0059  0.0030  -0.1733  0.1624  0.4030  0.000041  0.000411  0.1650
  169  0.0035  0.0067  0.0030  -0.1735  0.1624  0.4054  0.000041  0.000406  0.1600
  170  0.0035  0.0072  0.0031  -0.1740  0.1624  0.4026  0.000040  0.000401  0.1550
  171  0.0035  0.0076  0.0032  -0.1744  0.1626  0.4012  0.000040  0.000396  0.1500
  172  0.0034  0.0074  0.0028  -0.1750  0.1625  0.4047  0.000039  0.000391  0.1450
  173  0.0034  0.0060  0.0028  -0.1752  0.1625  0.4042  0.000039  0.000386  0.1400
  174  0.0034  0.0071  0.0029  -0.1756  0.1630  0.4027  0.000038  0.000381  0.1350
  175  0.0034  0.0072  0.0028  -0.1760  0.1629  0.4022  0.000038  0.000376  0.1300
  176  0.0034  0.0059  0.0027  -0.1763  0.1626  0.4043  0.000037  0.000371  0.1250
  177  0.0034  0.0093  0.0035  -0.1767  0.1627  0.4041  0.000037  0.000366  0.1200
  178  0.0034  0.0091  0.0029  -0.1773  0.1629  0.4049  0.000036  0.000361  0.1150
  179  0.0033  0.0073  0.0030  -0.1776  0.1628  0.3985  0.000036  0.000355  0.1100
  180  0.0033  0.0058  0.0027  -0.1779  0.1625  0.4020  0.000035  0.000350  0.1050
  181  0.0033  0.0056  0.0025  -0.1783  0.1626  0.4058  0.000035  0.000345  0.1000
  182  0.0033  0.0063  0.0025  -0.1784  0.1628  0.4077  0.000034  0.000341  0.0950
  183  0.0033  0.0058  0.0027  -0.1790  0.1627  0.4036  0.000034  0.000336  0.0900
  184  0.0033  0.0067  0.0029  -0.1794  0.1631  0.3999  0.000033  0.000331  0.0850
  185  0.0033  0.0053  0.0024  -0.1797  0.1630  0.4043  0.000033  0.000326  0.0800
  186  0.0033  0.0061  0.0024  -0.1799  0.1629  0.4052  0.000032  0.000321  0.0750
  187  0.0033  0.0070  0.0024  -0.1807  0.1631  0.4040  0.000032  0.000316  0.0700
  188  0.0032  0.0058  0.0026  -0.1810  0.1632  0.4038  0.000031  0.000311  0.0650
  189  0.0032  0.0053  0.0024  -0.1811  0.1631  0.4041  0.000031  0.000306  0.0600
  190  0.0032  0.0049  0.0021  -0.1813  0.1630  0.4057  0.000030  0.000301  0.0550
  191  0.0032  0.0067  0.0022  -0.1820  0.1632  0.4068  0.000030  0.000297  0.0500
  192  0.0032  0.0065  0.0024  -0.1824  0.1636  0.4064  0.000029  0.000292  0.0450
  193  0.0032  0.0051  0.0024  -0.1827  0.1635  0.4063  0.000029  0.000287  0.0400
  194  0.0032  0.0063  0.0023  -0.1830  0.1632  0.4054  0.000028  0.000282  0.0350
  195  0.0031  0.0073  0.0022  -0.1834  0.1632  0.4032  0.000028  0.000278  0.0300
  196  0.0031  0.0062  0.0020  -0.1838  0.1633  0.4053  0.000027  0.000273  0.0250
  197  0.0031  0.0054  0.0021  -0.1840  0.1634  0.4072  0.000027  0.000268  0.0200
  198  0.0031  0.0046  0.0022  -0.1846  0.1637  0.4044  0.000026  0.000264  0.0150
  199  0.0031  0.0045  0.0021  -0.1848  0.1636  0.4053  0.000026  0.000259  0.0100
  200  0.0031  0.0047  0.0020  -0.1853  0.1637  0.4058  0.000025  0.000255  0.0050
  201  0.0154  0.2888  0.0753  -0.1858  0.1634  0.4051  0.000010  0.001000  0.0000
  202  0.0102  0.4993  0.2953  -0.1852  0.1609  0.4072  0.000010  0.001000  0.0000
  203  0.0093  0.5447  0.1741  -0.1855  0.1627  0.4017  0.000010  0.000999  0.0000
  204  0.0081  0.2269  0.1170  -0.1853  0.1634  0.4051  0.000010  0.000998  0.0000
  205  0.0076  0.2208  0.1462  -0.1855  0.1655  0.3973  0.000010  0.000996  0.0000
  206  0.0073  0.2279  0.1365  -0.1859  0.1667  0.4017  0.000010  0.000994  0.0000
  207  0.0067  0.0961  0.1668  -0.1860  0.1669  0.3995  0.000010  0.000991  0.0000
  208  0.0059  0.0549  0.0248  -0.1857  0.1657  0.4009  0.000010  0.000988  0.0000
  209  0.0055  0.0302  0.0269  -0.1856  0.1651  0.4029  0.000010  0.000984  0.0000
  210  0.0053  0.0762  0.0400  -0.1853  0.1634  0.4026  0.000010  0.000980  0.0000
  211  0.0052  0.0272  0.0454  -0.1854  0.1630  0.4015  0.000010  0.000976  0.0000
  212  0.0054  0.1239  0.0518  -0.1858  0.1642  0.3997  0.000010  0.000970  0.0000
  213  0.0051  0.0746  0.0573  -0.1856  0.1649  0.4013  0.000010  0.000965  0.0000
  214  0.0047  0.0228  0.0409  -0.1855  0.1645  0.4076  0.000010  0.000959  0.0000
  215  0.0044  0.0186  0.0085  -0.1855  0.1636  0.4067  0.000010  0.000952  0.0000
  216  0.0043  0.0364  0.0097  -0.1853  0.1636  0.4052  0.000009  0.000946  0.0000
  217  0.0047  0.0409  0.0174  -0.1853  0.1636  0.3963  0.000009  0.000938  0.0000
  218  0.0049  0.0596  0.0362  -0.1854  0.1642  0.4033  0.000009  0.000930  0.0000
  219  0.0043  0.0207  0.0051  -0.1856  0.1645  0.4053  0.000009  0.000922  0.0000
  220  0.0059  0.0176  0.0276  -0.1855  0.1648  0.4077  0.000009  0.000914  0.0000
  221  0.0056  0.0247  0.0099  -0.1857  0.1650  0.4081  0.000009  0.000905  0.0000
  222  0.0057  0.0169  0.0264  -0.1856  0.1645  0.4083  0.000009  0.000895  0.0000
  223  0.0053  0.0367  0.0200  -0.1856  0.1637  0.4121  0.000009  0.000885  0.0000
  224  0.0054  0.0354  0.0180  -0.1856  0.1644  0.4048  0.000009  0.000875  0.0000
  225  0.0049  0.0153  0.0085  -0.1859  0.1654  0.4040  0.000009  0.000864  0.0000
  226  0.0044  0.0090  0.0054  -0.1856  0.1651  0.4029  0.000009  0.000854  0.0000
  227  0.0041  0.0183  0.0066  -0.1855  0.1644  0.4069  0.000008  0.000842  0.0000
  228  0.0045  0.0099  0.0051  -0.1855  0.1640  0.4092  0.000008  0.000831  0.0000
  229  0.0041  0.0071  0.0085  -0.1857  0.1644  0.4098  0.000008  0.000819  0.0000
  230  0.0041  0.0048  0.0243  -0.1859  0.1646  0.4005  0.000008  0.000806  0.0000
