epoch   recon    pos1    pos2    pos3    pos4   s_attn   r_attn      div  content   isolat      hit    lr_enc   lr_read    scaff  time
   98  0.0038  0.0166  0.0109  0.0095  0.0154  -0.1320  -0.1771  0.0991  0.3680  1.4521  0.3242  0.000524  0.000524  0.2761  135.5s
   99  0.0038  0.0183  0.0143  0.0090  0.0170  -0.1320  -0.1781  0.0997  0.3676  1.3379  0.3258  0.000516  0.000516  0.2687  135.1s
  100  0.0037  0.0106  0.0056  0.0056  0.0074  -0.1320  -0.1788  0.0986  0.3611  1.1879  0.3271  0.000508  0.000508  0.2612  135.5s
  101  0.0040  0.0223  0.0374  0.0228  0.0192  -0.1320  -0.1797  0.0986  0.3592  1.2139  0.3269  0.000500  0.000500  0.2537  135.6s
  102  0.0038  0.0212  0.0086  0.0054  0.0112  -0.1320  -0.1804  0.0977  0.3585  1.4685  0.3270  0.000492  0.000492  0.2463  135.4s
  103  0.0037  0.0115  0.0062  0.0056  0.0075  -0.1321  -0.1816  0.0984  0.3521  1.3879  0.3294  0.000484  0.000484  0.2388  135.6s
  104  0.0037  0.0112  0.0071  0.0041  0.0049  -0.1320  -0.1826  0.0988  0.3490  1.4047  0.3252  0.000476  0.000476  0.2313  135.9s
  105  0.0037  0.0114  0.0123  0.0127  0.0112  -0.1320  -0.1835  0.0989  0.3454  1.3019  0.3238  0.000469  0.000469  0.2239  135.4s
  106  0.0037  0.0076  0.0156  0.0091  0.0125  -0.1320  -0.1843  0.0989  0.3439  1.0714  0.3249  0.000461  0.000461  0.2164  135.8s
  107  0.0037  0.0095  0.0047  0.0070  0.0075  -0.1321  -0.1853  0.0993  0.3359  1.6619  0.3263  0.000453  0.000453  0.2090  135.3s
  108  0.0036  0.0064  0.0037  0.0036  0.0040  -0.1321  -0.1863  0.0986  0.3320  1.2844  0.3272  0.000445  0.000445  0.2015  135.7s
  109  0.0037  0.0072  0.0045  0.0066  0.0096  -0.1321  -0.1873  0.0996  0.3247  1.3768  0.3283  0.000437  0.000437  0.1940  135.4s
  110  0.0036  0.0064  0.0036  0.0034  0.0064  -0.1321  -0.1882  0.0991  0.3207  1.1747  0.3283  0.000430  0.000430  0.1866  135.9s
