epoch   recon     ltr    case     attn     div     hit  recode  content    traj     pen  rr_cls  rr_ltr  rr_cas   lr_attn    lr_mot   scaff  time
   57  0.0072  0.2979  0.3325  -1.8435  0.0727  0.3900  0.0057   0.0208  0.4137  0.1814  3.0647  0.4550  0.6372  0.000819  0.000819  0.5821  75.5s
   58  0.0065  0.2359  0.3173  -1.8438  0.0715  0.3927  0.0047   0.0124  0.4160  0.1671  2.9612  0.4435  0.6735  0.000813  0.000813  0.5746  75.2s
   59  0.0065  0.2502  0.3191  -1.8441  0.0717  0.3914  0.0046   0.0078  0.4157  0.1588  4.5989  0.3375  0.6142  0.000806  0.000806  0.5672  78.3s
   60  0.0066  0.2660  0.3098  -1.8446  0.0726  0.3939  0.0048   0.0139  0.4214  0.2031  4.1033  0.3613  0.6430  0.000800  0.000800  0.5597  76.7s
   61  0.0064  0.2467  0.3064  -1.8443  0.0722  0.3941  0.0045   0.0131  0.4311  0.1411  4.7305  0.3605  0.6265  0.000794  0.000794  0.5522  77.6s
   62  0.0064  0.2437  0.3129  -1.8439  0.0721  0.3910  0.0043   0.0229  0.4221  0.1337  5.2900  0.2901  0.5869  0.000788  0.000788  0.5448  76.9s
   63  0.0069  0.2860  0.3313  -1.8436  0.0718  0.3916  0.0052   0.0134  0.4191  0.1402  6.6559  0.2215  0.5574  0.000781  0.000781  0.5373  77.3s
   64  0.0059  0.2098  0.2902  -1.8446  0.0716  0.3935  0.0038   0.0132  0.4277  0.1594  5.6127  0.2426  0.5665  0.000775  0.000775  0.5299  75.0s
   65  0.0065  0.3163  0.3547  -1.8440  0.0715  0.3934  0.0047   0.0136  0.4685  0.1596  8.3333  0.1800  0.5641  0.000768  0.000768  0.5224  79.3s
   66  0.0071  0.3126  0.3542  -1.8434  0.0719  0.3916  0.0055   0.0166  0.4681  0.1602  6.7750  0.2161  0.5716  0.000761  0.000761  0.5149  75.8s
   67  0.0059  0.2104  0.3198  -1.8451  0.0718  0.3936  0.0038   0.0073  0.5127  0.1865  6.3358  0.1668  0.5725  0.000755  0.000755  0.5075  77.8s
   68  0.0069  0.2948  0.3542  -1.8438  0.0714  0.3895  0.0052   0.0085  0.5287  0.1748  5.8845  0.2212  0.5819  0.000748  0.000748  0.5000  76.0s
   69  0.0063  0.2261  0.3324  -1.8443  0.0719  0.3907  0.0043   0.0192  0.5573  0.1596  5.6008  0.2912  0.6010  0.000741  0.000741  0.4925  77.6s
   70  0.0075  0.3522  0.3341  -1.8441  0.0734  0.3962  0.0059   0.0212  0.5182  0.1523  6.6328  0.2294  0.6077  0.000734  0.000734  0.4851  75.5s
   71  0.0064  0.2898  0.3243  -1.8432  0.0717  0.3921  0.0045   0.0286  0.5335  0.1512  6.9226  0.2244  0.5865  0.000727  0.000727  0.4776  77.3s
   72  0.0058  0.2230  0.3201  -1.8444  0.0713  0.3946  0.0035   0.0117  0.5109  0.1416  6.4137  0.2692  0.5624  0.000720  0.000720  0.4701  79.8s
   73  0.0058  0.2108  0.3225  -1.8445  0.0715  0.3940  0.0035   0.0131  0.5111  0.1372  5.9638  0.2851  0.6080  0.000713  0.000713  0.4627  77.8s
   74  0.0063  0.2283  0.3309  -1.8440  0.0717  0.3947  0.0042   0.0176  0.5260  0.1296  10.2124  0.1278  0.5364  0.000706  0.000706  0.4552  76.4s
   75  0.0073  0.3384  0.3451  -1.8438  0.0730  0.3929  0.0057   0.0242  0.5155  0.1172  12.6475  0.0780  0.5443  0.000699  0.000699  0.4478  74.6s
   76  0.0062  0.2368  0.3244  -1.8439  0.0714  0.3939  0.0040   0.0148  0.4992  0.1227  11.9481  0.0738  0.5278  0.000691  0.000691  0.4403  76.5s
   77  0.0054  0.1780  0.3142  -1.8446  0.0713  0.3929  0.0028   0.0084  0.4815  0.1176  10.8520  0.1054  0.5125  0.000684  0.000684  0.4328  74.0s
   78  0.0051  0.1578  0.3153  -1.8452  0.0715  0.3937  0.0023   0.0058  0.4765  0.1231  10.3532  0.1187  0.5375  0.000677  0.000677  0.4254  75.5s
   79  0.0063  0.2388  0.3348  -1.8444  0.0719  0.3924  0.0042   0.0106  0.4614  0.1427  11.2519  0.1173  0.5302  0.000669  0.000669  0.4179  74.6s
   80  0.0067  0.2701  0.3327  -1.8443  0.0722  0.3930  0.0048   0.0110  0.4872  0.1530  10.8987  0.1324  0.5538  0.000662  0.000662  0.4104  77.3s
   81  0.0064  0.2380  0.3252  -1.8447  0.0721  0.3937  0.0043   0.0125  0.4296  0.1624  8.7356  0.1219  0.5868  0.000655  0.000655  0.4030  75.4s
